"Sl","Gene"
"246","ENSG00000011143"
"247","ENSG00000011198"
"248","ENSG00000011243"
"249","ENSG00000011258"
"250","ENSG00000011260"
"251","ENSG00000011275"
"252","ENSG00000011295"
"253","ENSG00000011304"
"254","ENSG00000011332"
"255","ENSG00000011347"
"256","ENSG00000011376"
"257","ENSG00000011405"
"258","ENSG00000011422"
"259","ENSG00000011451"
"260","ENSG00000011465"
"261","ENSG00000011478"
"262","ENSG00000011485"
"263","ENSG00000011523"
"264","ENSG00000011566"
"265","ENSG00000011600"
"266","ENSG00000011638"
"267","ENSG00000011677"
"268","ENSG00000012048"
"269","ENSG00000012061"
"270","ENSG00000012124"
"271","ENSG00000012174"
"272","ENSG00000012211"
"273","ENSG00000012223"
"274","ENSG00000012232"
"275","ENSG00000012504"
"276","ENSG00000012660"
"277","ENSG00000012779"
"278","ENSG00000012822"
"279","ENSG00000012963"
"280","ENSG00000012983"
"281","ENSG00000013275"
"282","ENSG00000013288"
"283","ENSG00000013293"
"284","ENSG00000013297"
"285","ENSG00000013306"
"286","ENSG00000013364"
"287","ENSG00000013374"
"288","ENSG00000013375"
"289","ENSG00000013392"
"290","ENSG00000013441"
"291","ENSG00000013503"
"292","ENSG00000013523"
"293","ENSG00000013561"
"294","ENSG00000013583"
"295","ENSG00000013588"
"296","ENSG00000013619"
"297","ENSG00000013725"
"298","ENSG00000013810"
"299","ENSG00000014123"
"300","ENSG00000014138"
"301","ENSG00000014164"
"302","ENSG00000014216"
"303","ENSG00000014257"
"304","ENSG00000014641"
"305","ENSG00000014824"
"306","ENSG00000014914"
"307","ENSG00000014919"
"308","ENSG00000015133"
"309","ENSG00000015153"
"310","ENSG00000015171"
"311","ENSG00000015285"
"312","ENSG00000015413"
"313","ENSG00000015475"
"314","ENSG00000015479"
"315","ENSG00000015520"
"316","ENSG00000015532"
"317","ENSG00000015592"
"318","ENSG00000015676"
"319","ENSG00000016391"
"320","ENSG00000016402"
"321","ENSG00000016490"
"322","ENSG00000016602"
"323","ENSG00000016864"
"324","ENSG00000017260"
"325","ENSG00000017373"
"326","ENSG00000017427"
"327","ENSG00000017483"
"328","ENSG00000017621"
"329","ENSG00000017797"
"330","ENSG00000018189"
"331","ENSG00000018236"
"332","ENSG00000018280"
"333","ENSG00000018408"
"334","ENSG00000018510"
"335","ENSG00000018610"
"336","ENSG00000018625"
"337","ENSG00000018699"
"338","ENSG00000018869"
"339","ENSG00000019102"
"340","ENSG00000019144"
"341","ENSG00000019169"
"342","ENSG00000019186"
"343","ENSG00000019485"
"344","ENSG00000019505"
"345","ENSG00000019549"
"346","ENSG00000019582"
"347","ENSG00000019991"
"348","ENSG00000019995"
"349","ENSG00000020129"
"350","ENSG00000020181"
"351","ENSG00000020256"
"352","ENSG00000020426"
"353","ENSG00000020577"
"354","ENSG00000020633"
"355","ENSG00000020922"
"356","ENSG00000021355"
"357","ENSG00000021488"
"358","ENSG00000021574"
"359","ENSG00000021645"
"360","ENSG00000021762"
"361","ENSG00000021826"
"362","ENSG00000021852"
"363","ENSG00000022267"
"364","ENSG00000022277"
"365","ENSG00000022355"
"366","ENSG00000022556"
"367","ENSG00000022567"
"368","ENSG00000022840"
"369","ENSG00000022976"
"370","ENSG00000023041"
"371","ENSG00000023171"
"372","ENSG00000023191"
"373","ENSG00000023287"
"374","ENSG00000023318"
"375","ENSG00000023330"
"376","ENSG00000023445"
"377","ENSG00000023516"
"378","ENSG00000023572"
"379","ENSG00000023734"
"380","ENSG00000023839"
"381","ENSG00000023892"
"382","ENSG00000023909"
"383","ENSG00000024048"
"384","ENSG00000024526"
"385","ENSG00000024862"
"386","ENSG00000025156"
"387","ENSG00000025293"
"388","ENSG00000025434"
"389","ENSG00000025708"
"390","ENSG00000025772"
"391","ENSG00000025796"
"392","ENSG00000025800"
"393","ENSG00000026025"
"394","ENSG00000026103"
"395","ENSG00000026297"
"396","ENSG00000026508"
"397","ENSG00000026559"
"398","ENSG00000026652"
"399","ENSG00000026751"
"400","ENSG00000026950"
"401","ENSG00000027001"
"402","ENSG00000027075"
"403","ENSG00000027644"
"404","ENSG00000027697"
"405","ENSG00000027847"
"406","ENSG00000028116"
"407","ENSG00000028137"
"408","ENSG00000028203"
"409","ENSG00000028277"
"410","ENSG00000028310"
"411","ENSG00000028528"
"412","ENSG00000029363"
"413","ENSG00000029364"
"414","ENSG00000029534"
"415","ENSG00000029639"
"416","ENSG00000029725"
"417","ENSG00000030110"
"418","ENSG00000030582"
"419","ENSG00000031003"
"420","ENSG00000031081"
"421","ENSG00000031698"
"422","ENSG00000031823"
"423","ENSG00000032219"
"424","ENSG00000032389"
"425","ENSG00000032444"
"426","ENSG00000032742"
"427","ENSG00000033030"
"428","ENSG00000033050"
"429","ENSG00000033100"
"430","ENSG00000033122"
"431","ENSG00000033170"
"432","ENSG00000033178"
"433","ENSG00000033327"
"434","ENSG00000033627"
"435","ENSG00000033800"
"436","ENSG00000033867"
"437","ENSG00000034053"
"438","ENSG00000034152"
"439","ENSG00000034239"
"440","ENSG00000034533"
"441","ENSG00000034677"
"442","ENSG00000034693"
"443","ENSG00000034713"
"444","ENSG00000034971"
"445","ENSG00000035115"
"446","ENSG00000035141"
"447","ENSG00000035403"
"448","ENSG00000035499"
"449","ENSG00000035681"
"450","ENSG00000035687"
"451","ENSG00000035720"
"452","ENSG00000035862"
"453","ENSG00000035928"
"454","ENSG00000036054"
"455","ENSG00000036257"
"456","ENSG00000036448"
"457","ENSG00000036473"
"458","ENSG00000036530"
"459","ENSG00000036565"
"460","ENSG00000036672"
"461","ENSG00000036828"
"462","ENSG00000037042"
"463","ENSG00000037241"
"464","ENSG00000037474"
"465","ENSG00000037637"
"466","ENSG00000037749"
"467","ENSG00000037757"
"468","ENSG00000037897"
"469","ENSG00000037965"
"470","ENSG00000038002"
"471","ENSG00000038210"
"472","ENSG00000038219"
"473","ENSG00000038274"
"474","ENSG00000038358"
"475","ENSG00000038382"
